regularization ,cost_type ,marginals ,steps ,time               ,errors
10.0           ,Coulomb   ,        2 ,   11 ,0.6389150619506836 ,"[1.8521694755690987e-07, 2.187017571486649e-07]"
10.0           ,Quadratic ,        2 ,   11 ,0.8835680484771729 ,"[1.7553854547713854e-07, 2.2326447890463896e-07]"
1.0            ,Coulomb   ,        2 ,   11 ,1.0196421146392822 ,"[2.4772953111096285e-07, 1.7270153307435976e-07]"
1.0            ,Quadratic ,        2 ,   21 ,1.3846123218536377 ,"[1.7858151579730475e-07, 1.8377907906597102e-07]"
0.5            ,Coulomb   ,        2 ,   21 ,0.7812063694000244 ,"[1.9009273444225983e-07, 1.6574523442614009e-07]"
0.5            ,Quadratic ,        2 ,   31 ,0.6555116176605225 ,"[2.1181358533794992e-07, 1.8462054640622227e-07]"
0.1            ,Coulomb   ,        2 ,   41 ,0.5621621608734131 ,"[8.891265110833046e-07, 2.770335356672149e-07]"
0.1            ,Quadratic ,        2 ,  111 ,0.683056116104126  ,"[5.080760729470057e-06, 3.506411019316147e-07]"
0.01           ,Coulomb   ,        2 ,  261 ,0.9846057891845703 ,"[9.801879969018046e-06, 1.2828159015043639e-06]"
0.01           ,Quadratic ,        2 , 1041 ,0.8993549346923828 ,"[9.753355698194355e-06, 3.0301380320452154e-06]"
0.001          ,Coulomb   ,        2 ,20001 ,6.6355743408203125 ,"[2.1854470105608925e-05, 1.0899653716478497e-05]"
0.001          ,Quadratic ,        2 ,20001 ,6.03398323059082   ,"[3.1681509426562116e-05, 3.482450483716093e-05]"
0.0001         ,Coulomb   ,        2 ,20001 ,2.8547708988189697 ,"[0.000251978897722438, 0.00010879403998842463]"
0.0001         ,Quadratic ,        2 ,20001 ,2.8542072772979736 ,"[0.13437873125076294, 0.0003386237076483667]"
1e-05          ,Coulomb   ,        2 ,20001 ,3.951550245285034  ,"[0.33764323592185974, 0.0008736603194847703]"
1e-05          ,Quadratic ,        2 ,20001 ,2.9413058757781982 ,"[0.8816003799438477, 0.0010966452537104487]"
1e-06          ,Coulomb   ,        2 ,20001 ,2.849825620651245  ,"[1.5005574226379395, 0.005581007804721594]"
1e-06          ,Quadratic ,        2 ,20001 ,2.9093496799468994 ,"[1.1145845651626587, 0.0014843851095065475]"
