regularization ,cost_type ,marginals ,steps ,time                 ,errors
10.0           ,Coulomb   ,        3 ,   11 ,  0.8455679416656494 ,"[3.508583859002101e-07, 4.175241770099092e-07, 6.766697424609447e-07]"
10.0           ,Quadratic ,        3 ,   11 ,  0.7849044799804688 ,"[2.599214496967761e-07, 3.2041668873716844e-07, 4.127574584344984e-07]"
1.0            ,Coulomb   ,        3 ,   21 ,  1.4639792442321777 ,"[3.2573515795775165e-07, 3.048544385819696e-07, 4.1576907960916287e-07]"
1.0            ,Quadratic ,        3 ,   21 ,  1.459794521331787  ,"[1.955583002200001e-06, 2.3612642507941928e-06, 5.729665417675278e-07]"
0.5            ,Coulomb   ,        3 ,   31 ,  1.381700038909912  ,"[6.348888064167113e-07, 5.121081585457432e-07, 4.5600111775456753e-07]"
0.5            ,Quadratic ,        3 ,   41 ,  3.021466016769409  ,"[3.325355464767199e-06, 1.7557854334881995e-06, 4.4557594947036705e-07]"
0.1            ,Coulomb   ,        3 ,  101 ,  2.5913548469543457 ,"[4.6026975724089425e-06, 2.012528511841083e-06, 5.7800264130492e-07]"
0.1            ,Quadratic ,        3 ,  191 ,  4.916104793548584  ,"[6.482734988821903e-06, 4.688044100475963e-06, 3.714069691795885e-07]"
0.01           ,Coulomb   ,        3 ,  931 , 21.10759449005127   ,"[8.511618943884969e-06, 6.151909019536106e-06, 2.0060481347172754e-06]"
0.01           ,Quadratic ,        3 , 1831 , 43.01199817657471   ,"[8.006779353308957e-06, 9.847222827374935e-06, 4.205226673548168e-07]"
0.001          ,Coulomb   ,        3 ,20001 ,444.3783438205719    ,"[3.759826722671278e-05, 3.711407043738291e-05, 1.8892165826400742e-05]"
0.001          ,Quadratic ,        3 ,20001 ,444.2110676765442    ,"[0.0005235706921666861, 4.218043977743946e-05, 3.5922087135986658e-06]"
0.0001         ,Coulomb   ,        3 ,20001 ,453.91229248046875   ,"[0.07388324290513992, 0.034798428416252136, 0.00020911516912747175]"
0.0001         ,Quadratic ,        3 ,20001 ,452.5078032016754    ,"[0.30960097908973694, 0.05188029259443283, 5.323367440723814e-05]"
1e-05          ,Coulomb   ,        3 ,20001 ,449.3856236934662    ,"[0.9838355779647827, 0.6429327130317688, 0.0008564015151932836]"
1e-05          ,Quadratic ,        3 ,20001 ,450.714791059494     ,"[0.6755143404006958, 0.42415744066238403, 0.00016064928786363453]"
1e-06          ,Coulomb   ,        3 ,20001 ,451.8150272369385    ,"[1.9069240093231201, 1.5042815208435059, 0.00698405085131526]"
1e-06          ,Quadratic ,        3 ,20001 ,455.3425588607788    ,"[0.714530348777771, 0.6099029779434204, 0.00022397274733521044]"
